Level name;Time taken;Num of tries
C01;1.927538;1
C02;3.169001;1
C01;1.45114;1
C02;2.238047;1
C03;1.956567;1
C04;3.383437;1
C01;1.325037;1
C01;9.508711;1
C01;3.001741;1
C01;1.243535;1
C01;6.100075;1
C01;2.646304;1
C01;2.485567;1
C02;22.31754;1
C03;25.686;1
C01;11.36416;3
C01;1.339376;1
A06;21.87738;54
